EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,left eye 1,left eye 2,right eye 1,right eye 2,response
0.031022448,25579.05956,132117.8313,93104.10379,5994.361137,34.19622066,-0.493036389,-0.945853497,0.044147954,0.946604078,0.616054183,0.098126631,-6.277410208,-95.14272212,93.70274102,2.81e-05,0.196563629,62.46169437,36.07894737,2202.105263,0.63131867,0.499062402,0.55645079,0.430872686,0
0.034298819,21274.5304,134060.9101,94609.07692,6218.511143,34.47630641,-0.489185079,-0.947640603,0.059063845,0.907027977,0.601404055,0.090092606,-4.908895265,-97.11047346,96.74318508,3.83e-05,0.19710147,113.3491036,37.75,2032.857143,0.648093933,0.198355812,0.626307161,0.196481126,0
0.037024076,18257.34412,134693.2908,95154.75432,6272.204415,34.71904762,-0.489306883,-0.94773327,0.062924474,0.90543021,0.578591876,0.097460239,-4.526768642,-97.43403442,96.73613767,3.88e-05,0.176811652,124.4405323,38.36363636,1834.545455,0.734420765,0.260788054,0.710498456,0.271767632,1
0.04060364,14952.79045,135654.576,95942.28953,6288.645519,35.11546256,-0.486605726,-0.949249121,0.071573079,0.910292965,0.581252792,0.095608242,-4.131592165,-97.33651431,96.97890507,4.27e-05,0.180076667,127.3132992,31.12121212,2413.333333,0.675748518,0.350881465,0.651678909,0.366504757,0
0.043820588,12386.44693,136310.8806,96619.93953,6316.886822,35.43793367,-0.484509259,-0.950296296,0.078274691,0.909770062,0.687580093,0.143687011,-3.87808642,-97.08024691,96.99845679,5.44e-05,0.203100837,123.0429987,37.0625,1655.0,0.763394163,0.304517912,0.735865264,0.341484631,1
0.045348343,11310.80384,137311.5544,97267.42176,6260.813711,35.57807389,-0.499111607,-0.943604167,0.071715774,0.90219012,0.514254135,0.086125972,-3.71577381,-97.50892857,97.02827381,5.07e-05,0.188235294,113.7674062,39.11111111,2622.222222,0.616673806,0.710851086,0.605101481,0.728579894,1
0.047094809,10168.1675,137044.2042,97014.21196,6312.93368,35.74557328,-0.483712435,-0.952580311,0.061542746,0.853871595,0.48319135,0.054771084,-4.034974093,-96.87694301,96.23056995,5.29e-05,0.207272727,109.8684118,33.33333333,2282.666667,0.482353929,0.275988904,0.471423472,0.286971958,0
0.049015781,9002.81654,136839.5782,96971.6564,6267.861374,35.91166667,-0.476007092,-0.956813239,0.066613475,0.893769596,0.51588285,0.116388821,-4.286052009,-96.0106383,94.87234043,5.07e-05,0.194709063,110.8922126,32.5625,2132.5,0.435809598,0.344144613,0.409290296,0.34379877,1
0.051080502,7850.329013,137102.8812,97181.78616,6314.091942,36.09072696,-0.474322348,-0.957899073,0.062792997,0.892819876,0.570644121,0.113333686,-4.434603502,-95.8815654,94.52008239,5.41e-05,0.193427254,113.2992128,35.0,2764.0,0.308970064,0.364216663,0.284042801,0.353534324,1
0.052952241,6879.792441,137108.4403,97156.62222,6263.105556,36.23449315,-0.477408587,-0.957979224,0.039189751,0.732719444,0.478985975,0.001839031,-4.717451524,-95.96121884,93.90166205,4.67e-05,0.169590719,111.991177,36.5,2780.0,0.58907881,0.530573652,0.568280573,0.569987712,1
